submission_pk,User,Score (Average F1)
463536,rriveraz,0.464 (1),
463541,plubeda,0.461 (2),
463535,upf_upc,0.446 (3),
463527,tass18-task3,0.417 (4),
463556,turmo,0.390 (5),
463548,VSP,0.331 (6),
463540,Marcelo,0.151 (7),
submission_pk,User,F1,Precision,Recall
463536,rriveraz,0.74 (1),0.90 (1),0.63 (1),
463541,plubeda,0.71 (2),0.84 (2),0.62 (2),
463535,upf_upc,0.68 (3),0.80 (3),0.60 (3),
463527,tass18-task3,0.57 (4),0.75 (4),0.45 (4),
463548,VSP,0.30 (5),0.30 (5),0.29 (6),
463540,Marcelo,0.18 (6),0.13 (6),0.30 (5),
463556,turmo,0.00 (7),0.00 (7),0.00 (7),
submission_pk,User,F1,Precision,Recall
463556,turmo,0.72 (1),0.74 (5),0.70 (1),
463541,plubeda,0.67 (2),0.90 (2),0.54 (2),
463536,rriveraz,0.65 (3),0.96 (1),0.49 (3),
463535,upf_upc,0.62 (4),0.88 (3),0.48 (4),
463527,tass18-task3,0.58 (5),0.76 (4),0.46 (5),
463548,VSP,0.27 (6),0.29 (6),0.26 (7),
463540,Marcelo,0.26 (7),0.20 (7),0.36 (6),
submission_pk,User,F1,Precision,Recall
463556,turmo,0.45 (1),0.51 (2),0.40 (1),
463548,VSP,0.42 (2),0.51 (3),0.36 (2),
463527,tass18-task3,0.11 (3),0.71 (1),0.06 (3),
463535,upf_upc,0.04 (4),0.26 (4),0.02 (5),
463540,Marcelo,0.02 (5),0.01 (5),0.03 (4),
463541,plubeda,0.00 (6),0.00 (6),0.00 (6),
463536,rriveraz,0.00 (6),0.00 (6),0.00 (6),
