submission_pk,User,score
1145424,lizhuoqun,0.7982 (1),
1122385,hansih,0.7598 (2),
888440,skent,0.7010 (3),
954425,kiymetakd,0.7003 (4),
895972,farhana_liza,0.6413 (5),
