submission_pk;User;Global;Region J;Region J;Region J;Boundary F;Boundary F;Boundary F
;Mean;Mean;Recall;Decay;Mean;Recall;Decay;
466309;Jono;0.719 (1);0.210 (18);0.197 (13);;;;
462686;lixx;0.693 (2);0.170 (9);0.190 (12);;;;
423455;dawnsix;0.681 (3);0.201 (16);0.205 (15);;;;
423882;apata;0.667 (4);0.185 (13);0.179 (10);;;;
479670;chaoma99;0.664 (5);0.223 (22);0.246 (28);;;;
463353;kthac;0.655 (6);0.246 (30);0.276 (34);;;;
464150;sourf;0.635 (7);0.224 (23);0.229 (24);;;;
478964;monajmilan;0.622 (8);0.164 (8);0.155 (8);;;;
443303;alextheengineer;0.617 (9);0.192 (14);0.200 (14);;;;
480848;genie;0.607 (10);0.217 (21);0.217 (18);;;;
438812;Ic_Jung;0.606 (11);0.223 (22);0.237 (27);;;;
408589;wangzhe;0.577 (12);0.317 (38);0.371 (41);;;;
424405;haamooon;0.576 (13);0.139 (6);0.144 (7);;;;
441695;scaelles;0.575 (14);0.242 (28);0.219 (19);;;;
415153;lalalafine123;0.574 (15);0.244 (29);0.246 (28);;;;
409377;voigtlaender;0.565 (16);0.199 (15);0.190 (12);;;;
462507;mrteera;0.562 (17);0.227 (24);0.214 (17);;;;
408582;ilanv;0.558 (18);0.176 (10);0.189 (11);;;;
405578;Fromandtozh;0.552 (19);0.181 (12);0.200 (14);;;;
478494;cjc;0.552 (19);0.208 (17);0.209 (16);;;;
451643;fl;0.542 (20);0.092 (3);0.088 (2);;;;
462466;swoh;0.534 (21);0.224 (23);0.236 (26);;;;
463585;mabs;0.528 (22);0.296 (36);0.310 (38);;;;
453009;hanulbogo;0.526 (23);0.274 (32);0.306 (36);;;;
468800;airmind;0.521 (24);0.266 (31);0.247 (29);;;;
436442;JLeon;0.505 (25);0.242 (28);0.224 (21);;;;
407004;YXLKJ;0.496 (26);0.227 (24);0.223 (20);;;;
462527;SunJia;0.489 (27);0.214 (20);0.235 (25);;;;
463459;marcociccone;0.483 (28);0.230 (25);0.228 (23);;;;
423272;xuaab;0.481 (29);0.233 (26);0.271 (33);;;;
411931;amilgeorge;0.469 (30);0.368 (40);0.404 (42);;;;
459342;united7;0.468 (31);0.279 (34);0.300 (35);;;;
408310;sidc;0.458 (32);0.343 (39);0.369 (40);;;;
457743;zhengjia;0.431 (33);0.230 (25);0.225 (22);;;;
466332;SnowFlower;0.421 (34);0.213 (19);0.248 (30);;;;
408034;zpd;0.419 (35);0.288 (35);0.307 (37);;;;
408316;Soonmin;0.416 (36);0.134 (5);0.143 (6);;;;
472550;Chestnut;0.406 (37);0.177 (11);0.160 (9);;;;
408704;griffb;0.388 (38);0.299 (37);0.326 (39);;;;
469436;Sombrero;0.355 (39);0.278 (33);0.263 (32);;;;
408688;drbear;0.342 (40);0.139 (6);0.141 (5);;;;
446697;hava;0.335 (41);0.234 (27);0.259 (31);;;;
462592;GhostDancer;0.292 (42);0.132 (4);0.136 (3);;;;
408648;Team542;0.106 (43);0.144 (7);0.138 (4);;;;
472792;lemon_wu;0.085 (44);-0.022 (1);-0.023 (1);;;;
408454;Toan-Anh;0.066 (45);-0.018 (2);-0.023 (1);;;;
